Weight,Wheelbase,Average MPG,Height,Type
3055,101.2,18,53.9,Car
2854,101.2,18,54.3,Car
3044,101.2,18,55.1,Car
2845,101.2,18,54.3,Car
2810,101.2,18,54.3,Car
3000,101.2,18,55.1,Car
2865,101,18,53.9,Car
3352,106.3,22,53.1,Car
3351,106.3,20,53.1,Car
2866,106.3,22,54.8,Car
3086,106.3,20,54.8,Car
2866,106.3,22,53.8,Car
3086,106.3,20,53.8,Car
2954,106.3,24,54.8,Car
3197,107.3,20,55.7,Car
2778,106.3,24,54.8,Car
3296,106.3,21,53.1,Car
3395,106.3,20,53.1,Car
3075,106.3,21,53.8,Car
3142,106.3,20,53.8,Car
3175,107.3,21,53.7,Car
3175,106.3,21,52.6,Car
3491,106.3,21,52.6,Car
3219,107.3,21,55.7,Car
3285,107.3,22,55.7,Car
3461,107.3,20,56.5,Car
3483,107.3,20,56.5,Car
3197,107.3,21,53.9,Car
3285,107.3,22,53.9,Car
3362,107.3,21,55.5,Car
3594,107.3,20,56.3,Car
3560,107.3,19,54,Car
3616,107.3,20,54,Car
3415,107.5,,54,Car
3781,107.5,,53.7,Car
3285,108.7,21,55.9,Car
3560,108.7,20,55.9,Car
3417,108.7,21,55.9,Car
3627,108.7,20,55.9,Car
3197,107.3,21,53.9,Car
3285,107.3,21,53.9,Car
3737,108.7,20,57.3,Car
3560,107.3,20,54,Car
3616,107.3,20,54,Car
3415,107.5,17,54,Car
3781,107.5,17,53.9,Car
3362,108.7,22,55.9,Car
3605,108.7,20,55.9,Car
3593,108.7,20,55.9,Car
3814,108.7,19,55.9,Car
3527,108.7,20,55.8,Car
3770,108.7,20,55.8,Car
3351,108.7,22,53.9,Car
3582,108.7,20,53.9,Car
3571,108.7,20,53.9,Car
3759,108.7,19,53.9,Car
3825,108.7,27,55.9,Car
3792,108.7,20,54.5,Car
3946,108.7,20,54.5,Car
3726,108.7,16,57,Car
3704,108.7,16,55.6,Car
4145,108.7,16,54.8,Car
3295,110.6,28,56.3,Car
3450,110.6,27,56.3,Car
3410,110.6,27,56.3,Car
3420,110.6,27,56.3,Car
3595,110.6,26,56.3,Car
3605,110.6,26,56.3,Car
3555,110.6,25,56.3,Car
3710,110.6,24,56.3,Car
3460,110.6,37,56.3,Car
3620,110.6,35,56.3,Car
3790,110.6,35,56.3,Car
3780,110.6,26,56.3,Car
3825,110.6,28,56.3,Car
3370,110.6,28,56.3,Car
3510,110.6,27,56.5,Car
3541,110.6,27,56.3,Car
3706,110.6,27,56.5,Car
3695,110.6,25,56.3,Car
3820,110.6,25,56.5,Car
3510,110.6,36,56.3,Car
3695,110.6,34,56.5,Car
3913,110.6,34,56.5,Car
3867,110.6,27,56.5,Car
3900,110.6,30,56.3,Car
3575,110.7,20,56.1,Car
3915,115,26,59.4,Car
4010,115,24,59.4,Car
4015,115,27,59.4,Car
4103,115,23,59.4,Car